SIGLA,NOME/DESCRIÇÃO
ACF,Assessoria de Logística e Finanças 
ACF2,Assessoria de Logística e Finanças 2
ACF3,Assessoria de Logística e Finanças 3
ACF1,Assessoria de Logística e Finanças 1
SDAL,Subdiretoria de Apoio Logístico 
SDAL1,Subdiretoria de Apoio Logístico 1
SDAL2,Subdiretoria de Apoio Logístico 2
SDAL3,Subdiretoria de Apoio Logístico 3
SDAL4,Subdiretoria de Apoio Logístico 4
SDAL5,Subdiretoria de Apoio Logístico 5
SDAL6,Subdiretoria de Apoio Logístico 6
SDTS2,Subdiretoria de Tecnologia e Sistemas 2
SDTS1,Subdiretoria de Tecnologia e Sistemas 1
SDTS3,Subdiretoria de Tecnologia e Sistemas 3
GOL,Gestão Orçamentária e Licitações 
SECT,Secretaria 
NTS,Núcleo de Tecnologia e Sistemas 
SDTS,Subdiretoria de Tecnologia e Sistemas 
